0.2,3,30
0.2,6,80
0.2,9,100
0.2,12,130
0.2,15,170
0.2,18,220
0.2,21,270
0.2,24,300
0.2,27,350
0.2,30,360
0.3,3,30
0.3,6,70
0.3,9,190
0.3,12,170
0.3,15,180
0.3,18,290
0.3,21,340
0.3,24,400
0.3,27,470
0.3,30,400
0.4,3,80
0.4,6,90
0.4,9,250
0.4,12,300
0.4,15,280
0.4,18,250
0.4,21,410
0.4,24,340
0.4,27,560
0.4,30,480
0.5,3,100
0.5,6,130
0.5,9,230
0.5,12,230
0.5,15,330
0.5,18,300
0.5,21,540
0.5,24,500
0.5,27,580
0.5,30,700
0.6,3,90
0.6,6,110
0.6,9,170
0.6,12,250
0.6,15,350
0.6,18,640
0.6,21,570
0.6,24,600
0.6,27,940
0.6,30,790
0.7,3,90
0.7,6,390
0.7,9,260
0.7,12,510
0.7,15,600
0.7,18,810
0.7,21,1290
0.7,24,1320
0.7,27,1400
0.7,30,1360
0.8,3,440
0.8,6,550
0.8,9,960
0.8,12,1290
0.8,15,870
0.8,18,1550
0.8,21,1440
0.8,24,2260
0.8,27,2430
0.8,30,2900
